"Mês/ano";"RO";"PA";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"GO";"DF";"IG";"Total"
"1995/Jan";-;-;-;-;-;3;-;-;-;-;-;4;-;1;-;-;-;-;-;-;8
"1995/Fev";-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;18
"1995/Mar";-;-;-;-;-;-;-;-;-;-;-;11;-;40;-;-;-;-;-;-;51
"1995/Abr";-;-;-;-;-;-;-;-;-;-;-;1;-;80;-;-;-;-;-;-;81
"1995/Mai";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"1995/Jul";-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;10
"1995/Ago";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;13
"1995/Set";-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;3
"1995/Out";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;11
"1995/Nov";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;21
"1995/Dez";-;-;-;-;-;-;5;-;-;-;-;171;-;28;-;-;-;-;8;-;212
"1996/Jan";-;-;-;-;-;121;-;-;-;65;1;205;-;12;-;-;-;-;13;-;417
"1996/Fev";-;-;-;-;-;35;17;-;-;111;-;131;-;11;-;-;-;-;37;-;342
"1996/Mar";-;27;-;-;-;64;184;-;-;-;-;810;-;17;-;-;-;-;20;-;1122
"1996/Abr";-;-;-;-;-;7;81;-;-;2383;-;754;-;12;-;-;-;-;6;-;3243
"1996/Mai";-;2;-;-;-;2;1;-;-;1005;-;738;-;-;-;-;-;-;22;-;1770
"1996/Jun";-;311;-;-;-;-;1;-;-;566;-;923;-;-;-;-;-;-;31;-;1832
"1996/Jul";-;-;-;-;-;340;-;-;-;2323;-;709;-;51;-;-;-;-;40;-;3463
"1996/Ago";-;-;-;-;-;1177;206;-;-;996;-;841;-;14;-;-;-;-;9;-;3243
"1996/Set";-;-;46;1;-;73;145;-;-;2417;-;827;-;35;-;-;-;-;22;-;3566
"1996/Out";-;-;216;-;-;167;303;-;-;723;-;1035;-;17;-;-;-;-;33;-;2494
"1996/Nov";-;-;55;-;68;11;675;-;-;461;1;1657;-;-;-;-;-;-;20;-;2948
"1996/Dez";-;-;14;-;134;-;777;-;-;-;-;802;-;-;-;-;-;-;17;-;1744
