"Ano do Óbito";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1996";4606;2263;8009;1029;17165;1593;3728;12031;6785;29370;12299;17740;48420;13813;8942;54624;97498;16748;118111;235409;53994;27762;67596;11152;8399;21573;8224;908883
"1997";4834;2272;8285;926;18467;1657;3733;13462;7743;31160;12040;17394;49532;14279;8444;52558;97916;15851;113329;232961;53473;27044;64312;11056;9166;23217;8405;903516
"1998";5497;2391;8745;1095;20183;1536;4104;15228;8378;31762;12532;17740;51963;16539;9269;55984;98193;17588;115382;231556;55841;27684;69505;11025;10197;23572;8406;931895
"1999";5409;2122;9535;1266;21190;1700;4263;14403;8672;34751;12668;17148;51744;14313;9420;58521;99503;17329;113497;236820;54801;27855;67269;11489;10776;23650;8544;938658
"2000";5602;2565;10464;1329;21542;1686;4373;16041;11623;33641;12858;18268;52469;14337;9519;59654;96161;17632;111196;238959;56092;28431;67953;11078;11466;23175;8572;946686
"2001";6015;2494;10504;1200;23699;1961;4797;19792;12505;35726;13292;18879;51868;15442;9727;61025;97981;17687;113816;235987;55073;28260;68296;11213;11572;23921;8760;961492
"2002";6028;2486;10623;1252;23139;1982;4820;21490;13085;39172;14176;19704;52194;15861;9876;63422;97844;17618;117018;237741;56854;28776;69357;11421;12168;25634;9066;982807
"2003";6319;2534;10594;1351;25124;1895;4970;22524;13883;40972;13731;19998;52912;15245;9651;64103;104760;18404;116318;240253;57566;29525;70534;12161;12221;25697;9095;1002340
"2004";6319;2676;10896;1408;25886;1949;5140;22823;13603;41178;14642;20696;53560;15728;9593;64791;107340;18630;117538;243984;60276;30552;72242;12562;12907;27545;9609;1024073
"2005";6252;2811;11132;1440;26402;1765;5055;23931;14253;39867;14172;20289;52247;15311;9787;64687;106275;18676;114394;236456;58778;29915;71229;12508;12936;26834;9425;1006827
"2006";6072;2759;11594;1509;27015;1803;5120;22643;14484;40793;13659;20134;51885;15422;9586;67533;111807;19665;118423;243955;60610;30421;72357;12760;12958;27211;9513;1031691
"2007";5565;2799;11757;1494;27626;1886;5604;23821;14884;40426;14541;21275;53338;16594;9726;67588;111366;19641;120217;244653;61597;32102;75305;13208;12792;28153;9866;1047824
"2008";6289;2858;12715;1481;29633;2113;5878;25407;15489;43100;15576;22522;54124;16403;10239;71013;112756;20447;122534;249247;63781;31869;73996;13235;13872;30146;10284;1077007
"2009";6837;2892;12992;1536;30512;2140;6084;25734;15573;44194;16215;22797;54678;17056;10737;73492;114301;20396;123890;256627;64960;33825;76788;13610;14267;30496;10459;1103088
"2010";7225;3009;13300;1640;31600;2172;6479;26091;15614;43847;16090;23407;54570;17737;10942;76337;120803;21205;127536;264951;66969;34474;77985;14471;14986;32656;10851;1136947
"2011";7014;3157;14227;1599;32638;2495;6659;28970;17052;47886;17802;24579;57219;18645;11397;78046;122653;21403;127095;270367;68598;35912;80148;14291;15239;34154;11253;1170498
"2012";7602;3293;14847;1783;33898;2601;6642;28838;17449;48712;17923;25168;57132;18376;11837;80311;125074;21616;126261;270432;68637;35435;79456;14634;15901;36000;11308;1181166
"2013";7500;3318;15129;1947;34150;2680;6871;30919;17985;51638;18921;25926;58209;19243;12151;81423;125850;21651;130032;276980;69930;36285;83016;14921;16137;36254;11408;1210474
"2014";7655;3476;15879;1954;35575;2852;7127;32101;18565;51950;19137;25240;57823;19065;12237;83630;127703;22030;131044;281624;69348;37000;82166;15063;16969;37808;12018;1227039
"2015";7948;3517;16675;2091;37365;2946;7402;33666;19366;55258;20153;26422;62556;19756;13453;87083;131274;22332;132714;287645;70839;37984;82349;15457;17095;38854;11975;1264175
"2016";8344;3763;16799;2157;38557;2995;7490;34362;19187;54276;21922;28041;66928;20769;13516;88094;135257;22868;141089;296359;74740;40270;87583;16749;17535;38074;12050;1309774
"2017";8219;3832;17281;2461;39980;3158;8052;35275;19850;59263;21409;26975;64364;20673;13321;90915;138118;24112;136709;294753;71633;39919;86241;15954;17709;39973;12514;1312663
"2018";8165;4094;17710;2787;40513;3345;7795;34525;19983;57028;21209;26644;62011;19411;13024;90134;135619;23500;140706;298313;73848;41268;88618;16600;18205;39507;12157;1316719
"2019";8338;4098;18327;2779;40599;3524;8021;35128;20528;56580;21767;27378;64295;20287;13473;93365;141022;24431;144600;306190;74566;42282;89238;16815;18341;41025;12804;1349801
"Total";159654;71479;308019;39514;702458;54434;140207;599205;356539;1052550;388734;534364;1336041;410305;259867;1728333;2757074;481460;2973449;6212222;1522804;794850;1823539;323433;333814;735129;246566;26346043
