"Ano do Óbito";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1979";2842;1319;6927;346;15303;823;-;6062;3531;15214;6863;11715;56530;17254;7284;44692;95579;12678;91650;171583;46029;18821;49704;5955;3158;14636;5244;711742
"1980";3237;1424;6366;394;16547;786;-;6694;5339;18019;10590;24763;57837;17421;7439;45775;94600;12867;92946;175408;47790;19797;52308;7215;3264;16361;5540;750727
"1981";3000;1495;6240;481;16357;952;-;6909;5816;19603;10077;24332;55626;17608;7794;48423;92853;12859;92279;175926;46253;19311;50404;7670;3687;18824;5497;750276
"1982";3154;1483;6642;590;15977;823;-;10871;6980;18926;8804;22215;52977;17490;7500;49054;90458;13156;89780;175015;44595;18745;50306;6867;3857;20096;5253;741614
"1983";3914;1583;6890;556;17181;873;-;14659;8084;25574;9117;22578;54313;17279;7099;50098;89811;13617;93602;177765;46192;20184;52505;7697;4835;19910;5287;771203
"1984";4512;1735;7538;610;18371;913;-;16323;8076;27060;9803;24982;60236;19433;7837;53645;92210;13421;96428;185661;46506;20698;54894;7867;5599;20124;5343;809825
"1985";4712;1657;7460;654;17909;975;-;14428;9270;23370;9662;20570;54608;16528;7477;50446;93834;13991;97587;182282;46147;20347;53432;8019;6088;21274;5504;788231
"1986";5493;2064;7604;691;18700;1136;-;14807;8850;22431;9106;22281;57877;17693;7623;52384;93627;14080;100829;189361;46791;21518;54646;8195;6490;21657;5622;811556
"1987";5534;2078;7835;725;18160;983;-;12950;8382;21323;10340;21027;53784;16482;7047;51835;90151;13690;101445;189840;45705;22014;55971;8237;6810;21633;5640;799621
"1988";5446;2155;7796;769;18249;1061;-;14522;8370;22991;10485;20194;57014;16977;7130;51231;93514;14198;107623;201320;47512;23456;58738;8487;7162;22121;5817;834338
"1989";5488;1780;7818;769;16188;1008;2430;13126;7785;23200;9752;18841;52622;15161;7420;50850;91419;13302;107296;201107;47293;22930;57532;8809;6870;18712;6266;815774
"1990";5566;1530;8013;855;18482;961;1419;13586;7583;22106;8477;18525;51406;15025;7230;48373;90424;14432;107932;206466;49207;23548;58807;8792;6479;15351;6709;817284
"1991";4878;1938;6836;818;17072;1117;2476;13337;6158;22947;10210;17919;49764;14266;8136;50424;89401;14700;105436;198559;46567;22289;58024;8631;7151;17917;6865;803836
"1992";4320;2066;7167;769;16946;1083;2747;13606;7853;22926;10430;17101;48883;14382;9436;52260;94543;14768;106644;203687;48738;23522;60316;9250;7385;19877;6947;827652
"1993";4813;2145;7763;783;17945;1235;3042;13867;8518;27594;11939;19363;51460;14631;8537;52637;98133;16279;114059;216675;51499;25155;64504;9630;7715;20535;7650;878106
"1994";4768;2290;8403;935;18170;1474;2808;12382;8228;29209;11555;18430;49578;14016;8516;54236;97463;15998;116942;222430;52335;25209;63675;10498;7993;21972;8081;887594
"1995";5314;2184;8473;967;17516;1512;3277;12537;7667;28385;12774;18634;47342;14551;9808;53238;95980;15747;116692;227837;51347;26482;65039;10767;8977;22714;8116;893877
"Total";76991;30926;125771;11712;295073;17715;18199;210666;126490;390878;169984;343470;911857;276197;133313;859601;1584000;239783;1739170;3300922;810506;374026;960805;142586;103520;333714;105381;13693256
