"Ano do Óbito";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1996";631;421;1566;237;2196;360;578;1069;472;4380;1346;1907;6048;1785;1176;5092;8019;1270;6946;15710;4083;1763;3330;1201;935;1681;822;75024
"1997";764;390;1584;149;2406;388;522;1213;602;4332;1278;1659;5468;1872;1097;4573;7348;1159;6467;15159;3688;1704;2874;1134;930;1813;827;71400
"1998";837;463;1700;178;2690;329;544;1501;640;4147;1254;1565;5451;2987;1313;5199;6839;1177;5827;13756;3889;1634;3071;1058;1061;1784;796;71690
"1999";750;358;1848;212;2939;360;557;1543;791;4111;1275;1424;5535;2072;1321;5577;6505;1075;5708;12796;3671;1616;2790;1041;1045;1641;784;69345
"2000";724;476;1864;181;3144;314;591;1898;1345;3801;1206;1848;4885;2027;1163;6380;6258;1100;5114;11922;3514;1490;2676;965;1122;1500;691;68199
"2001";665;359;1659;163;3202;331;592;2188;1245;3169;1042;1379;4379;2158;1241;5744;5597;1020;4423;10437;2925;1367;2530;962;1009;1445;712;61943
"2002";630;341;1613;117;2976;343;528;2425;1254;3461;1127;1472;4035;1948;1065;5417;5113;886;4167;9534;2779;1309;2429;812;982;1528;625;58916
"2003";617;326;1524;161;3232;306;514;2473;1212;3506;913;1415;3974;1720;959;5505;5001;874;4102;9273;2595;1173;2382;790;909;1471;613;57540
"2004";573;341;1332;187;3175;315;482;2213;1078;3083;940;1308;3404;1432;839;5157;4680;800;3963;8959;2479;1164;2320;885;969;1469;636;54183
"2005";521;365;1346;175;3028;289;448;2465;1126;2566;852;1213;3267;1467;895;5023;4586;818;3571;8353;2332;1065;2013;801;967;1366;626;51544
"2006";481;340;1382;203;3008;321;464;2240;1084;2443;701;1085;2734;1234;786;4784;4349;791;3339;8078;2146;1056;1855;742;826;1282;578;48332
"2007";446;358;1247;164;2817;300;437;2164;1056;2157;758;1087;2680;1233;665;4353;3860;709;3205;7774;1950;1046;1701;741;770;1203;489;45370
"2008";436;322;1257;168;2753;342;396;2110;972;2104;728;1026;2468;1080;650;4086;3836;752;3106;7585;1978;997;1724;682;802;1215;525;44100
"2009";455;322;1270;177;2632;321;411;2051;913;2039;676;910;2434;1063;586;4057;3529;617;3128;7482;1864;945;1542;736;797;1163;522;42642
"2010";479;287;1178;126;2533;287;399;1860;833;1691;638;850;2083;918;510;3814;3336;617;3004;7163;1840;888;1492;631;739;1115;559;39870
"2011";368;256;1177;126;2471;304;391;1939;847;1750;640;846;1958;852;562;3612;3392;629;3063;7088;1781;1033;1581;557;740;1254;499;39716
"2012";364;274;1301;175;2349;304;346;1703;797;1609;659;824;2010;796;555;3574;3313;606;3077;7118;1796;942;1500;565;717;1343;506;39123
"2013";377;280;1361;209;2295;313;328;1896;761;1726;675;828;1999;852;517;3463;3142;597;2939;7070;1707;940;1494;543;773;1314;567;38966
"2014";395;291;1275;225;2259;294;316;1813;743;1581;618;778;1892;793;543;3351;3029;639;2970;7173;1791;943;1529;571;828;1282;510;38432
"2015";405;291;1245;191;2151;264;327;1789;730;1598;680;688;1886;765;524;3165;3070;650;2978;6849;1758;965;1501;531;781;1231;488;37501
"2016";357;239;1225;210;2157;284;298;1656;763;1596;581;709;1821;689;495;3195;2912;624;2990;6667;1630;834;1439;548;740;1244;447;36350
"2017";353;223;1292;210;2136;302;309;1787;757;1688;569;764;1648;675;521;3081;2982;596;2770;6680;1633;976;1425;473;720;1159;494;36223
"2018";357;273;1253;266;2134;294;323;1649;735;1594;564;703;1714;658;576;3121;2889;600;2794;6530;1613;950;1372;502;713;1234;453;35864
"2019";311;259;1241;264;2094;289;286;1627;702;1580;547;752;1633;659;565;2970;2942;585;2737;6443;1582;942;1429;485;747;1260;362;35293
"Total";12296;7855;33740;4474;62777;7554;10387;45272;21458;61712;20267;27040;75406;31735;19124;104293;106527;19191;92388;215599;57024;27742;47999;17956;20622;32997;14131;1197566
