"Ano do Óbito";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1979";1049;355;2534;135;4898;294;-;1448;1004;6037;2466;4788;21189;6637;1734;13301;23030;2997;16529;40968;11469;4018;7546;1680;624;3059;1611;181400
"1980";1055;383;2210;171;4930;270;-;1533;1432;6534;3530;9802;21438;6875;1815;13443;20555;2836;15570;37147;10621;3803;7251;1799;551;2916;1578;180048
"1981";988;414;2024;208;4521;286;-;1512;1462;6682;3168;9252;19305;6485;1815;13563;19293;2735;14958;37548;9661;3591;6580;1946;631;3036;1543;173207
"1982";1051;426;2285;286;4322;244;-;1601;1430;6184;2426;7589;17354;6455;1726;13222;18497;2653;13548;37102;9031;3102;6326;1602;589;3283;1294;163628
"1983";1295;391;2420;213;4499;246;-;1743;1608;7033;2650;7629;17304;6109;1512;13406;16596;2822;12502;30689;8201;3037;5631;1729;784;3017;1168;154234
"1984";1350;413;2589;179;4798;259;-;1727;1152;6931;2363;8581;19100;6786;1689;13750;15005;2488;12443;30867;7696;2930;6076;1498;907;2554;976;155107
"1985";1388;379;2594;203;4320;243;-;1322;1103;5160;1824;5848;15601;4936;1479;11178;14037;2488;10501;25203;7180;2580;5289;1442;918;2559;932;130707
"1986";1559;515;2352;214;4614;335;-;1436;956;4752;1512;6198;16703;5662;1494;11751;13711;2408;10425;25383;7023;2545;4850;1382;931;2607;896;132214
"1987";1524;497;2456;233;4031;284;-;1199;1009;4413;1810;5999;14676;4821;1244;11534;13090;2266;9258;23413;6415;2569;4571;1425;943;2739;895;123314
"1988";1370;544;2172;190;3529;246;-;1334;876;4345;1637;5586;14929;4871;1048;9819;12634;2146;10152;23980;6203;2654;4474;1343;910;2447;816;120255
"1989";1350;369;2024;149;2982;217;254;1110;782;3878;1471;4349;12017;3733;1078;8500;11236;1896;8860;21412;6060;2461;4071;1331;759;1862;899;105110
"1990";1348;348;2112;203;3453;174;147;1157;819;3093;1024;3649;10104;3358;801;7289;10099;1809;8329;20333;5795;2198;3830;1224;762;1520;960;95938
"1991";982;374;1458;156;2751;244;308;1079;518;3402;1135;3328;9342;2762;1081;6948;9431;1647;7146;17579;5263;1951;3580;1153;789;1647;915;86969
"1992";786;496;1617;174;2572;217;402;1081;772;3187;1129;2860;8821;2775;1451;7606;9706;1570;7639;17130;4885;1768;3536;1168;734;1674;814;86570
"1993";828;427;1831;186;2675;315;435;985;908;4137;1311;3461;9136;2797;1081;7641;9734;1678;7804;17511;5005;1826;3599;1142;688;1765;926;89832
"1994";747;462;1925;211;2511;293;349;980;778;4668;1085;2659;8028;2173;1092;7034;9711;1503;8144;17377;5066;1884;3631;1370;738;1949;936;87304
"1995";768;379;1797;206;2345;347;418;1116;650;4171;1646;2134;6604;2308;1322;6116;8981;1412;7190;16724;4508;1865;3543;1306;815;1988;913;81572
"Total";19438;7172;36400;3317;63751;4514;2313;22363;17259;84607;32187;93712;241651;79543;23462;176101;235346;37354;180998;440366;120082;44782;84384;24540;13073;40622;18072;2147409
